thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled,year_x,month_x,pct_change,anom_iqr_units,out_pct,is_event_month,year_y,month_y,lb_m,ub_m,luu_luong_den_ho_m3_s_capped_x,luu_luong_den_ho_m3_s_capped_roll_mean_6h,luu_luong_den_ho_m3_s_capped_roll_mean_24h,luu_luong_den_ho_m3_s_capped_roll_mean_72h,luu_luong_den_ho_m3_s_capped_roll_mean_168h,luu_luong_den_ho_m3_s_capped_roll_std_24h,luu_luong_den_ho_m3_s_capped_roll_std_168h,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_y,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich
2023-11-09 05:00:00,Hòa Bình,116.99,1495.0,813.0,0.0,813.0,116.99,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1495.0,1884.0,1465.2083333333333,1050.0277777777778,933.7261904761904,567.22114230281,693.522344228854,-465.0,336.0,-112.0,1960.0,1159.0,1607.0,40.0,845.5,649.5,0.6063010501750292,0.7493055555555556,7.310550158534422,1495.0,0,0,0,1
2023-11-09 06:00:00,Hòa Bình,117.0,1646.0,1059.0,0.0,1059.0,117.0,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1646.0,1988.0,1467.2916666666667,1072.0555555555557,943.029761904762,567.8139223040072,692.5246222354419,151.0,624.0,50.0,1495.0,1022.0,1596.0,60.0,845.5,800.5,0.7472578763127188,0.7998263888888889,7.40671073017764,1646.0,0,0,0,1
2023-11-09 07:00:00,Hòa Bình,116.99,1204.0,1539.0,0.0,1539.0,116.99,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1204.0,1828.3333333333333,1451.0416666666667,1088.2222222222222,948.7083333333334,569.607834518513,690.7168311026354,-442.0,-958.0,-390.0,1646.0,2162.0,1594.0,40.0,845.5,358.5,0.3346557759626604,0.6496527777777777,7.094234845924755,1204.0,0,0,0,1
2023-11-09 08:00:00,Hòa Bình,116.98,1215.0,1551.0,0.0,1551.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1215.0,1657.1666666666667,1449.75,1104.5416666666667,954.5535714285714,570.1279223350047,688.7762276122044,11.0,-1027.0,-31.0,1204.0,2242.0,1246.0,40.0,845.5,369.5,0.3449241540256709,0.6572916666666667,7.103322062526113,1215.0,0,0,0,1
2023-11-09 09:00:00,Hòa Bình,116.98,1272.0,1265.0,0.0,1265.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,1272.0,1465.3333333333333,1438.125,1121.6527777777778,956.8630952380952,570.8176677210953,689.1886136731462,57.0,-1151.0,-279.0,1215.0,2423.0,1551.0,40.0,845.5,426.5,0.3981330221703617,0.6826388888888889,7.149131598557407,1272.0,0,0,0,1
2023-11-09 10:00:00,Hòa Bình,116.98,980.0,973.0,0.0,973.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,980.0,1302.0,1398.9583333333333,1133.5,955.779761904762,568.5608436842588,689.0072475183994,-292.0,-980.0,-940.0,1272.0,1960.0,1920.0,127.0,845.5,134.5,0.1255542590431738,0.5602430555555555,6.888572459565364,980.0,0,0,0,1
2023-11-09 11:00:00,Hòa Bình,116.98,742.0,735.0,0.0,735.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,742.0,1176.5,1337.375,1131.2222222222222,955.172619047619,555.6616747077951,689.1512613658956,-238.0,-753.0,-1478.0,980.0,1495.0,2220.0,906.0,845.5,-103.5,-0.0966161026837806,0.4428819444444444,6.610696044717759,742.0,0,0,0,1
2023-11-09 12:00:00,Hòa Bình,116.98,727.0,720.0,0.0,720.0,116.98,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,727.0,1023.3333333333334,1300.2916666666667,1120.1527777777778,955.3988095238096,565.7945916385884,689.0696073916722,-15.0,-919.0,-890.0,742.0,1646.0,1617.0,1524.0,845.5,-118.5,-0.1106184364060676,0.4329861111111111,6.590301048196686,727.0,0,0,0,1
2023-11-09 13:00:00,Hòa Bình,116.97,511.0,960.0,0.0,960.0,116.97,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,511.0,907.8333333333334,1256.0,1107.111111111111,954.922619047619,584.7267663655291,689.3505230845449,-216.0,-693.0,-1063.0,727.0,1204.0,1574.0,1450.0,845.5,-334.5,-0.3122520420070012,0.3008680555555555,6.238324625039508,511.0,0,0,0,1
2023-11-09 14:00:00,Hòa Bình,116.95,312.0,1218.0,0.0,1218.0,116.95,2023,11,10.915492957746476,0.0539647577092511,0.1388888888888889,0,2023,11,0.0,2807.0,312.0,757.3333333333334,1249.3333333333333,1094.6527777777778,955.0714285714286,594.8780413310876,689.2081594721442,-199.0,-903.0,-160.0,511.0,1215.0,472.0,1209.0,845.5,-533.5,-0.4980163360560093,0.1678819444444444,5.746203190540153,312.0,0,0,0,1
